experiment,species,site_name,site_number,plant_id,plant_unique_id,height_pre,crown_length_pre,crown_width_pre,biomass_pre,drybiomass_pre,num_stems_pre,diameter_stem_pre,success_1,height_post,crown_length_post,crown_width_post,num_resprouts_post,diameter_stem_post,drybiomass_post,success_2
field,ACY,Agost,1,ACY_1,ACY_Agost_1,82,57,45,260,111.274722,1,27.57,1,33,27,16,19,3.35,23.861,1
field,ACY,Agost,1,ACY_2,ACY_Agost_2,82,30,17,190,81.316143,3,23.65,1,29,20,17,7,4.78,21.939,1
field,ACY,Agost,1,ACY_3,ACY_Agost_3,85,65,21,190,81.316143,1,17.35,1,48,28,21,13,4.69,32.643,
field,ACY,Agost,1,ACY_4,ACY_Agost_4,77,35,31,200,85.59594,1,24.06,1,33,29,19,23,3.74,26.618,1
field,ACY,Agost,1,ACY_5,ACY_Agost_5,123,56,35,485,207.5701545,1,30.63,0,,,,,,,
field,ACY,Agost,1,ACY_6,ACY_Agost_6,101,44,31.5,360,154.072692,2,22.6,1,35,22,20,4,3.6,9.55,0
field,ACY,Agost,1,ACY_7,ACY_Agost_7,112,49,36,230,98.435331,2,18.8,0,,,,,,,
field,ACY,Agost,1,ACY_8,ACY_Agost_8,59,34,28,70,29.958579,3,9.42,1,34,20,11,9,4.25,11.248,
field,ACY,Agost,1,ACY_9,ACY_Agost_9,62,30,25,90,38.518173,1,16.08,1,28,23,19,20,3.81,27.26,1
field,ACY,Agost,1,ACY_10,ACY_Agost_10,83,54,42,320,136.953504,4,15.43,1,23,25,16,18,3.63,23.898,1
field,ACY,Agost,1,ACY_11,ACY_Agost_11,69,54,51,250,106.994925,3,15.94,0,,,,,,,
field,ACY,Agost,1,ACY_12,ACY_Agost_12,86,45,29,155,66.3368535,2,15.74,0,,,,,,,
field,ACY,Agost,1,ACY_13,ACY_Agost_13,78,43,41,250,106.994925,4,13.62,1,45,34,24,41,4.43,39.518,0
field,ACY,Agost,1,ACY_14,ACY_Agost_14,70,41,27,280,119.834316,2,22.45,0,,,,,,,
field,ACY,Agost,1,ACY_15,ACY_Agost_15,116.5,33,24,400,171.19188,3,15.02,1,42,24,20,25,3.45,20.755,1
field,ACY,Agost,1,ACY_16,ACY_Agost_16,97.5,58,42,650,278.186805,9,18.64,1,54,37,24,85,4.82,101.133,1
field,ACY,Agost,1,ACY_17,ACY_Agost_17,83.5,56,46,240,102.715128,3,14.54,1,43,29,23,21,2.42,25.678,0
field,ACY,Agost,1,ACY_18,ACY_Agost_18,128,33,26,260,111.274722,1,18.18,1,,,,,,,
field,ACY,Agost,1,ACY_19,ACY_Agost_19,92,51,31,270,115.554519,2,19.39,0,,,,,,,
field,ACY,Agost,1,ACY_20,ACY_Agost_20,75,33,24,80,34.238376,1,11.74,1,44,30,21,22,5.09,34.231,1
field,ACY,Agost,1,ACY_21,ACY_Agost_21,120,104,97,1160,496.456452,1,39.18,1,63,63,42,127,5.52,202.042,1
field,ACY,Agost,1,ACY_22,ACY_Agost_22,100,61,59,300,128.39391,4,15.54,1,39,27,19,27,2.72,17.527,1
field,ACY,Agost,1,ACY_23,ACY_Agost_23,125,69,53,630,269.627211,4,19.89,1,60,39,27,80,4.54,98.889,1
field,ACY,Agost,1,ACY_24,ACY_Agost_24,83,53,38,300,128.39391,1,32.19,1,53,27,22,47,3.89,55.671,1
field,ACY,Agost,1,ACY_25,ACY_Agost_25,70,36,29,150,64.196955,2,15.43,1,33,24,20,57,2.3,32.585,1
field,GAL,Agost,1,GAL_1,GAL_Agost_1,40,54,38,150,64.196955,3,23.67,1,40,35,25,33,4.08,64.326,1
field,GAL,Agost,1,GAL_2,GAL_Agost_2,70,48,34,110,47.077767,1,12.84,1,32,42,30,18,3.4,39.83,1
field,GAL,Agost,1,GAL_3,GAL_Agost_3,52,27,23,70,29.958579,2,13.28,1,33,24,19,34,3.61,38.66,1
field,GAL,Agost,1,GAL_4,GAL_Agost_4,34,29,16,40,17.119188,2,13.63,1,39,27,16,22,3.94,41.151,1
field,GAL,Agost,1,GAL_5,GAL_Agost_5,59,38,19,60,25.678782,1,14.76,1,37,21,14,24,3.98,29.094,1
field,GAL,Agost,1,GAL_6,GAL_Agost_6,40,24,13,30,12.839391,1,14.28,1,38,19,11,29,2.21,31.491,1
field,GAL,Agost,1,GAL_7,GAL_Agost_7,67,55,29,210,89.875737,1,19.91,1,44,26,17,42,4.27,57.043,1
field,GAL,Agost,1,GAL_8,GAL_Agost_8,53,47,37,190,81.316143,1,23.28,1,42,26,14,45,3.93,77.408,1
field,GAL,Agost,1,GAL_9,GAL_Agost_9,46,28,25,60,25.678782,1,10.21,1,39,24,20,26,2.68,40.036,1
field,GAL,Agost,1,GAL_10,GAL_Agost_10,49,42,35,160,68.476752,1,30.26,1,50,50,30,41,4.14,133.607,1
field,GAL,Agost,1,GAL_11,GAL_Agost_11,90,63,50,450,192.590865,1,22.33,1,60,49,40,44,4.9,164.619,1
field,GAL,Agost,1,GAL_12,GAL_Agost_12,68,57,56,280,119.834316,3,13.5,1,44,31,27,32,4.15,100.963,1
field,GAL,Agost,1,GAL_13,GAL_Agost_13,50,57,46,170,72.756549,1,15,1,49,39,28,31,4.36,70.435,1
field,GAL,Agost,1,GAL_14,GAL_Agost_14,58,58,44,300,128.39391,7,14.77,1,42,33,27,45,3.57,64.535,1
field,GAL,Agost,1,GAL_15,GAL_Agost_15,64,62,48,300,128.39391,5,11.99,1,50,43,24,22,5.26,95.033,1
field,GAL,Agost,1,GAL_16,GAL_Agost_16,106,84,70,780,333.824166,1,33.39,1,49,45,43,49,3.65,125.712,1
field,GAL,Agost,1,GAL_17,GAL_Agost_17,46,40,29,140,59.917158,1,12.54,1,32,35,27,27,4.24,59.714,1
field,GAL,Agost,1,GAL_18,GAL_Agost_18,40,30,30,60,25.678782,1,15.16,1,34,29,22,22,3.48,28.778,1
field,GAL,Agost,1,GAL_19,GAL_Agost_19,66,59,39,200,85.59594,1,18.99,1,37,33,20,31,3.24,45.574,1
field,GAL,Agost,1,GAL_20,GAL_Agost_20,74,78,50,400,171.19188,3,20.93,1,38,36,25,31,3.9,50.768,1
field,GAL,Agost,1,GAL_21,GAL_Agost_21,38,29,21,40,17.119188,1,13.25,,,,,,,,
field,GAL,Agost,1,GAL_22,GAL_Agost_22,58,49,35,210,89.875737,2,14.19,1,41,28,21,14,5.85,63.126,1
field,GAL,Agost,1,GAL_23,GAL_Agost_23,36,46,28,90,38.518173,1,17.61,1,34,29,19,19,3.51,31.954,1
field,GAL,Agost,1,GAL_24,GAL_Agost_24,67,49,30,240,102.715128,1,20.99,1,46,29,24,31,4.54,60.105,1
field,GAL,Agost,1,GAL_25,GAL_Agost_25,42,40,33,260,111.274722,3,17.82,1,25,20,17,17,2.12,22.388,1
field,ACY,Cabeco d'or,2,ACY_1,ACY_Cabeco d'or_1,83,69,66,430,183.2372197,1,22.88,1,46,44,35,25,4.17,77.409,1
field,ACY,Cabeco d'or,2,ACY_2,ACY_Cabeco d'or_2,73,62,46,320,136.3625821,2,26.97,1,44,53,40,28,4.06,58.61,1
field,ACY,Cabeco d'or,2,ACY_3,ACY_Cabeco d'or_3,82,68,66,380,161.9305662,4,20.23,1,46,56,52,59,3.39,85.78,1
field,ACY,Cabeco d'or,2,ACY_4,ACY_Cabeco d'or_4,83,84,78,540,230.1118573,5,15.74,1,54,53,42,49,6.3,127.84,1
field,ACY,Cabeco d'or,2,ACY_5,ACY_Cabeco d'or_5,67,69,51,200,85.2266138,2,19.25,1,50,52,36,34,4.95,65.235,1
field,ACY,Cabeco d'or,2,ACY_6,ACY_Cabeco d'or_6,87,90,84,660,281.2478255,6,13.82,1,60,62,46,42,7.06,159.79,1
field,ACY,Cabeco d'or,2,ACY_7,ACY_Cabeco d'or_7,72,56,53,200,85.2266138,1,28.98,1,49,36,27,20,3.49,49.866,1
field,ACY,Cabeco d'or,2,ACY_8,ACY_Cabeco d'or_8,104,85,80,850,362.2131086,5,25.65,1,53,44,39,70,5.34,127.194,1
field,ACY,Cabeco d'or,2,ACY_9,ACY_Cabeco d'or_9,82,59,59,210,89.48794449,1,21.38,1,62,43,36,27,4.07,64.238,1
field,ACY,Cabeco d'or,2,ACY_10,ACY_Cabeco d'or_10,85,58,47,320,136.3625821,2,19,1,32,27,19,31,3.82,25.97,1
field,ACY,Cabeco d'or,2,ACY_11,ACY_Cabeco d'or_11,105,58,43,220,93.74927518,3,16.84,1,47,31,22,39,3.22,46.316,1
field,ACY,Cabeco d'or,2,ACY_12,ACY_Cabeco d'or_12,78,52,51,160,68.18129104,2,21.78,1,64,31,23,21,4.92,56.812,1
field,ACY,Cabeco d'or,2,ACY_13,ACY_Cabeco d'or_13,89,94,70,730,311.0771404,2,27.33,1,57,62,41,21,6.86,80.399,0
field,ACY,Cabeco d'or,2,ACY_14,ACY_Cabeco d'or_14,96,75,64,300,127.8399207,3,16.95,1,48,27,21,23,2.83,36.1,1
field,ACY,Cabeco d'or,2,ACY_15,ACY_Cabeco d'or_15,102,76,72,740,315.3384711,2,20.88,1,66,48,46,45,5.99,146.376,1
field,ACY,Cabeco d'or,2,ACY_16,ACY_Cabeco d'or_16,93,64,51,380,161.9305662,2,22.98,1,36,32,23,43,3.84,29.542,1
field,ACY,Cabeco d'or,2,ACY_17,ACY_Cabeco d'or_17,108,110,86,950,404.8264155,4,21.81,1,53,62,53,85,6.33,193.96,1
field,ACY,Cabeco d'or,2,ACY_18,ACY_Cabeco d'or_18,112,45,36,250,106.5332672,1,20.2,1,36,21,18,19,3.47,16.66,1
field,ACY,Cabeco d'or,2,ACY_19,ACY_Cabeco d'or_19,94,84,77,700,298.2931483,4,19.02,1,39,30,30,33,3.36,39.149,0
field,ACY,Cabeco d'or,2,ACY_20,ACY_Cabeco d'or_20,99,86,70,560,238.6345186,1,19.4,1,,,,,,,
field,ACY,Cabeco d'or,2,ACY_21,ACY_Cabeco d'or_21,83,68,65,200,85.2266138,2,19.81,1,52,54,41,37,6.69,77.166,1
field,ACY,Cabeco d'or,2,ACY_22,ACY_Cabeco d'or_22,103,78,70,650,276.9864948,3,19.59,1,43,27,23,48,2.44,32.5,1
field,ACY,Cabeco d'or,2,ACY_23,ACY_Cabeco d'or_23,67,45,34,160,68.18129104,1,17.51,0,,,,,,,
field,ACY,Cabeco d'or,2,ACY_24,ACY_Cabeco d'or_24,128,35,21,530,225.8505266,2,23.91,0,,,,,,,
field,ACY,Cabeco d'or,2,ACY_25,ACY_Cabeco d'or_25,83,62,53,150,63.91996035,1,17.4,,,,,,,,
field,GAL,Cabeco d'or,2,GAL_1,GAL_Cabeco d'or_1,61,57,49,250,106.5332672,6,9.5,1,49,49,37,26,5.48,156.057,1
field,GAL,Cabeco d'or,2,GAL_2,GAL_Cabeco d'or_2,55,56,46,400,170.4532276,3,16.54,1,47,50,33,57,5.02,198.686,1
