species,site_name,plant_id,dry_material_g,starch,total_soluble_sugars,aridity
ACY,Agost,A ACY 1,82.1,0.94,3.08,High
ACY,Agost,A ACY 2,57.9,0.87,0.53,High
ACY,Agost,A ACY 3,73.1,4.94,3.2,High
ACY,Agost,A ACY 4,81.1,1.2,6.01,High
ACY,Agost,A ACY 5,66.7,0.69,1.33,High
ACY,Agost,A ACY 6,58.8,0.21,1.41,High
ACY,Agost,A ACY 7,65.4,1.84,6.25,High
ACY,Agost,A ACY 8,68.2,12.66,10.83,High
ACY,Serra D'irta,S ACY 1,69.2,0.31,0.73,Low
ACY,Serra D'irta,S ACY 3,70,0.72,1.95,Low
ACY,Serra D'irta,S ACY 5,46.2,1.09,1.27,Low
ACY,Serra D'irta,S ACY 6,62.5,0.12,1.64,Low
ACY,Serra D'irta,S ACY 7,66.7,0.54,1.89,Low
ACY,Serra D'irta,S ACY 8,46.2,5.8,5.72,Low
ACY,Serra D'irta,S ACY 9,50,3.01,2.79,Low
ACY,Serra D'irta,S ACY 10,56.3,0.63,1.4,Low
GAL,Tivissa,T GAL 1,62.5,0.1,3.56,Low
GAL,Tivissa,T GAL 2,61.9,0.1,4.59,Low
GAL,Tivissa,T GAL 3,73.1,0.11,3.26,Low
GAL,Tivissa,T GAL 4,79.5,0.14,2.63,Low
GAL,Tivissa,T GAL 5,64.7,0.1,0.53,Low
GAL,Tivissa,T GAL 6,80,0.1,4.22,Low
GAL,Tivissa,T GAL 8,71,0.55,2.29,Low
GAL,Tivissa,T GAL 9,71.9,0.1,1.78,Low
GAL,Agost,GAL 1a,62.5,0.1,4.9,High
GAL,Agost,GAL 2a,52.9,0.1,2.02,High
GAL,Agost,GAL 3a,60,0.1,4.74,High
GAL,Agost,GAL 4a,73.1,0.1,4,High
GAL,Agost,GAL 6a,57.1,0.1,4.24,High
GAL,Agost,GAL 7a,69.2,0.1,4.94,High
GAL,Agost,GAL 8a,66.7,0.11,2.69,High
GAL,Agost,GAL 9a,73.1,2.05,5.45,High
