site_name,site_number,species,lat,long,fire_activity,ysf,soil_carbon,soil_nitrogen,aridity,rainfall_post_2018,rainfall_post_2020
Agost,1,ACY,38.460622,-0.62112,0.001667546,40,1.52,0.038,0.7788,192.6999969,56.5
Agost,1,GAL,38.460622,-0.62112,0.001667546,40,1.52,0.038,0.7788,192.6999969,56.5
Cabeco d'or,2,ACY,38.516764,-0.41339,0.124718764,40,0.73,0.027,0.7667,241.9000092,76.59999847
Cabeco d'or,2,GAL,38.516764,-0.41339,0.124718764,40,0.73,0.027,0.7667,241.9000092,76.59999847
Canyelles,12,GAL,41.2606315,1.6899847,0.324508945,6,0.31,0.005,0.5495,496.1000061,221.6999969
Cortes,7,GAL,39.313833,-0.685972,3.901375271,6,4.99,0.346,0.7484,345.8999939,183
Desert de les Palmas,5,ACY,40.067325,0.040802,0.385453625,40,1.4,0.057,0.6934,430.1000061,182.6999969
Garraf,13,GAL,41.369979,1.950343,0.24666611,5,11.39,0.339,0.5085,483.5,233.1000061
Naquera,4,ACY,39.67001,-0.418894,1.004746947,14,1.62,0.043,0.7212,425,213.4000092
Perello,11,GAL,40.884805,0.679051,1.037806902,25,10.96,0.398,0.579,388.1000061,137.8000031
Petrer,3,ACY,38.495593,-0.735937,0.002728712,40,1.85,0.016,0.7581,189.1000061,71.5
Serra,8,GAL,39.694013,-0.397524,1.083538492,39,3.89,0.286,0.7112,420.8000183,215.8000031
Serra D'irta,6,ACY,40.262204,0.267871,0.163379544,13,1.95,0.101,0.6898,458.6000061,175.8000031
Serra D'irta,6,GAL,40.262204,0.267871,0.163379544,13,1.95,0.015,0.6898,458.6000061,175.8000031
Serra del Boix,9,GAL,40.838158,0.586969,0.646140065,32,4.28,0.267,0.6006,435.1000061,167.8000031
Tivissa,10,GAL,41.03098,0.708573,0.472584604,29,4.74,0.1,0.5857,461.3999939,174.1999969
